session_k,feature,dist_mmd,dist_energy,dist_wasserstein,dist_mahalanobis,dist_euclidean,subject,dataset,n_sessions
1,CSP,0.2859653229950079,0.886591025954735,1.3350270466350291,4.666846611464462,1.7715558643661011,1,zhou2016,3
1,logvar,0.3490014804206607,1.0022977107970008,1.4829585253596036,3.9257387077756642,1.8436316495936644,1,zhou2016,3
1,TS,0.4484517204718955,9.854934966028642,178.60870722386207,10.820815278379303,198.94848059417254,1,zhou2016,3
2,CSP,0.2605064861819426,0.8915161306691357,1.3631133544270637,3.0867194006573255,1.8586602545529909,1,zhou2016,3
2,logvar,0.35417883494932056,1.0399764401973035,1.509092605645252,3.584648154172671,1.9186277603925521,1,zhou2016,3
2,TS,0.2678523358853835,7.533257771984341,94.54160716577758,9.663737510492847,124.22871706171775,1,zhou2016,3
1,CSP,0.44624957442056146,1.1879052289596599,1.7675110216940704,4.729973400821017,2.3541984855228986,2,zhou2016,3
1,logvar,0.35946663819104063,0.9072803818923285,1.2305752576975335,4.302044709998118,1.7174503864400332,2,zhou2016,3
1,TS,0.20609879352273586,3.977001902778671,204.30003003839326,10.76580258433531,357.4031164653288,2,zhou2016,3
2,CSP,0.3550179781106384,0.9294607088074079,1.355359457967499,4.539110957746673,1.7641160154931403,2,zhou2016,3
2,logvar,0.10390064624199424,0.46030759053744635,0.7644844766950497,3.047439926128723,1.2636426164101766,2,zhou2016,3
2,TS,0.08603661903609772,2.384875843118162,90.90500229459425,14.109260738676157,103.65299494737427,2,zhou2016,3
1,CSP,0.059373438056771644,0.4019892192004287,0.8288321348129329,1.3866920464335284,1.5283540513008687,3,zhou2016,3
1,logvar,0.1996975750214378,0.8829037970275277,1.6198831211471054,2.9202627088713,2.450818387976462,3,zhou2016,3
1,TS,0.24177449310724908,9.16132432242064,170.35780625854312,7.255515160577919,228.75128132640523,3,zhou2016,3
2,CSP,0.0821342189377392,0.4898218490557275,0.8955982805813829,1.5168920638332195,1.6637726862058735,3,zhou2016,3
2,logvar,0.07331485297187679,0.5188050042996537,1.055573550166244,4.098355101443798,2.2477466766224845,3,zhou2016,3
2,TS,0.09422860089175722,4.9496929959477445,89.50079893800479,11.848272940972683,185.08557993560208,3,zhou2016,3
1,CSP,0.11824579871464236,0.542359671990218,1.155402671080685,1.0606582226869408,1.8705916834784435,4,zhou2016,3
1,logvar,0.3322081068013155,1.0542964049820933,2.2401248157241436,3.4612813064284116,2.6468392586839964,4,zhou2016,3
1,TS,0.2604615318672877,10.002128918048848,317.14523523785493,11.679084231852315,359.51535860647397,4,zhou2016,3
2,CSP,0.12629016008922545,0.5929406925269783,0.9129977752132878,2.526054167480531,1.5906446971425887,4,zhou2016,3
2,logvar,0.4722748414726522,1.2665047683261237,1.8953138335718462,4.391177541020012,2.1640368498146825,4,zhou2016,3
2,TS,0.33617041506654366,10.70539869201886,165.79936542658223,14.394424881735937,194.25047349582604,4,zhou2016,3
